ts	x	y	z	label
2020-09-03 09:21:42.924000	-0.736	0.096	-0.576	low_cupboard
2020-09-03 09:21:42.935000	-0.544	0.512	-0.736	low_cupboard
2020-09-03 09:21:42.956000	-0.672	0.416	-0.704	low_cupboard
2020-09-03 09:21:43.125000	-0.8	0.096	-0.576	low_cupboard
2020-09-03 09:21:43.145000	-0.608	0.512	-0.8	low_cupboard
2020-09-03 09:21:43.156000	-0.64	0.384	-0.736	low_cupboard
2020-09-03 09:21:43.325000	-0.896	0.128	-0.576	low_cupboard
2020-09-03 09:21:43.346000	-0.576	0.544	-0.8	low_cupboard
2020-09-03 09:21:43.535000	-0.928	0.064	-0.608	low_cupboard
2020-09-03 09:21:43.556000	-0.576	0.512	-0.768	low_cupboard
2020-09-03 09:21:43.735000	-1.024	0.16	-0.544	low_cupboard
2020-09-03 09:21:43.756000	-0.608	0.448	-0.704	low_cupboard
2020-09-03 09:21:43.945000	-1.088	0.224	-0.512	low_cupboard
2020-09-03 09:21:43.956000	-0.64	0.48	-0.736	low_cupboard
2020-09-03 09:21:44.146000	-1.088	0.256	-0.512	low_cupboard
2020-09-03 09:21:44.356000	-1.088	0.32	-0.416	low_cupboard
2020-09-03 09:21:44.556000	-1.056	0.32	-0.32	low_cupboard
2020-09-03 09:21:44.756000	-1.088	0.448	-0.224	low_cupboard
2020-09-03 09:20:59.447600	-0.512	0.64	-0.704	high_cupboard
2020-09-03 09:20:59.657600	-0.512	0.64	-0.672	high_cupboard
2020-09-03 09:20:59.857600	-0.544	0.64	-0.672	high_cupboard
2020-09-03 09:21:00.063000	0.96	0.224	-0.224	high_cupboard
2020-09-03 09:21:00.067600	-0.544	0.608	-0.672	high_cupboard
2020-09-03 09:21:00.273000	0.96	0.224	-0.32	high_cupboard
2020-09-03 09:21:00.278600	-0.544	0.64	-0.672	high_cupboard
2020-09-03 09:21:00.473000	0.896	0.192	-0.32	high_cupboard
2020-09-03 09:21:00.478600	-0.544	0.64	-0.64	high_cupboard
2020-09-03 09:21:00.678400	0.928	0.288	-0.16	high_cupboard
2020-09-03 09:21:00.678600	-0.544	0.64	-0.64	high_cupboard
2020-09-03 09:21:00.683000	0.896	0.096	-0.384	high_cupboard
2020-09-03 09:21:00.888400	0.928	0.256	-0.192	high_cupboard
2020-09-03 09:21:00.888600	-0.544	0.64	-0.672	high_cupboard
2020-09-03 09:21:00.894000	0.928	0.064	-0.512	high_cupboard
2020-09-03 09:21:01.088400	0.928	0.256	-0.192	high_cupboard
2020-09-03 09:21:01.088600	-0.544	0.608	-0.64	high_cupboard
2020-09-03 09:21:01.094000	0.896	0.064	-0.576	high_cupboard
2020-09-03 09:21:01.289600	-0.544	0.608	-0.64	high_cupboard
2020-09-03 09:21:01.293800	0.928	0.16	-0.288	high_cupboard
2020-09-03 09:21:01.294000	0.96	0.0	-0.64	high_cupboard
2020-09-03 09:21:01.298400	0.928	0.224	-0.16	high_cupboard
2020-09-03 09:21:01.499600	-0.544	0.64	-0.736	high_cupboard
2020-09-03 09:21:01.503800	0.928	0.288	-0.224	high_cupboard
2020-09-03 09:21:01.504000	0.864	0.032	-0.64	high_cupboard
2020-09-03 09:21:01.509400	0.96	0.256	-0.192	high_cupboard
2020-09-03 09:21:01.699600	-0.576	0.64	-0.736	high_cupboard
2020-09-03 09:21:01.703800	0.928	0.256	-0.128	high_cupboard
2020-09-03 09:21:01.704000	0.736	0.128	-0.672	high_cupboard
2020-09-03 09:21:01.709400	0.928	0.256	-0.256	high_cupboard
2020-09-03 09:21:01.899600	-0.608	0.64	-0.672	high_cupboard
2020-09-03 09:21:01.905000	0.704	0.064	-0.672	high_cupboard
2020-09-03 09:21:01.909200	0.832	0.064	-0.416	high_cupboard
2020-09-03 09:21:01.909400	0.928	0.16	-0.288	high_cupboard
2020-09-03 09:21:01.913800	0.928	0.384	-0.192	high_cupboard
2020-09-03 09:21:02.109600	-0.608	0.544	-0.64	high_cupboard
2020-09-03 09:21:02.115000	0.672	0.032	-0.672	high_cupboard
2020-09-03 09:21:02.119200	0.864	0.128	-0.352	high_cupboard
2020-09-03 09:21:02.119400	0.928	0.128	-0.32	high_cupboard
2020-09-03 09:21:02.124800	0.96	0.288	-0.032	high_cupboard
2020-09-03 09:21:02.310600	-0.576	0.544	-0.576	high_cupboard
2020-09-03 09:21:02.315000	0.608	0.128	-0.48	high_cupboard
2020-09-03 09:21:02.319200	0.896	0.096	-0.32	high_cupboard
2020-09-03 09:21:02.319400	0.928	0.128	-0.352	high_cupboard
2020-09-03 09:21:02.324800	0.96	0.32	-0.128	high_cupboard
2020-09-03 09:21:02.515000	0.608	0.0	-0.768	high_cupboard
2020-09-03 09:21:02.520400	0.928	0.128	-0.416	high_cupboard
2020-09-03 09:21:02.520600	-0.544	0.576	-0.576	high_cupboard
2020-09-03 09:21:02.524600	0.864	0.064	-0.48	high_cupboard
2020-09-03 09:21:02.524800	0.96	0.288	-0.096	high_cupboard
2020-09-03 09:21:02.529200	0.928	0.064	-0.32	high_cupboard
2020-09-03 09:21:02.720600	-0.544	0.64	-0.672	high_cupboard
2020-09-03 09:21:02.725000	0.544	-0.032	-0.864	high_cupboard
2020-09-03 09:21:02.730400	0.896	-0.032	-0.544	high_cupboard
2020-09-03 09:21:02.734600	0.896	0.032	-0.384	high_cupboard
2020-09-03 09:21:02.734800	0.96	0.288	-0.032	high_cupboard
2020-09-03 09:21:02.740200	0.96	0.16	-0.224	high_cupboard
2020-09-03 09:21:02.920600	-0.544	0.8	-0.928	high_cupboard
2020-09-03 09:21:02.926000	0.576	0.096	-0.768	high_cupboard
2020-09-03 09:21:02.930400	0.8	0.096	-0.512	high_cupboard
2020-09-03 09:21:02.934600	0.96	0.128	-0.352	high_cupboard
2020-09-03 09:21:02.934800	0.992	0.224	-0.224	high_cupboard
2020-09-03 09:21:02.940200	0.96	0.224	-0.192	high_cupboard
2020-09-03 09:21:03.130400	0.8	0.16	-0.576	high_cupboard
2020-09-03 09:21:03.130600	-0.608	0.864	-1.088	high_cupboard
2020-09-03 09:21:03.135800	0.96	0.256	-0.224	high_cupboard
2020-09-03 09:21:03.136000	0.576	0.096	-0.864	high_cupboard
2020-09-03 09:21:03.140200	0.992	0.224	-0.128	high_cupboard
2020-09-03 09:21:03.144600	0.96	0.224	-0.288	high_cupboard
2020-09-03 09:21:03.330600	-0.608	0.896	-1.344	high_cupboard
2020-09-03 09:21:03.336000	0.544	0.032	-0.768	high_cupboard
2020-09-03 09:21:03.340400	0.8	0.096	-0.576	high_cupboard
